year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransporationMT,consumptionTextitleMT,consumptionOtherMT,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2040,eu30,0,28.016545934806345,21.1203711487251,0,13.114365042951249,0,11.987785135748709,0.0,0.0,3.1474476055736886,2.176984598783747,6.071951021756831,1.7048674616507924,0,0.013114365071366763,0.32924451289927814,0.5570802234386305,0.08665346842264031,0.027021795239451005
2041,eu30,0,25.665719996934058,22.278110625979025,0,13.95315417573147,0,12.324285834163675,0.0,0.0,3.348757009860492,2.316223591207745,6.460310389622464,1.8139100426924415,0,0.013953154186587824,0.3219733508072488,0.5600882887460767,0.09127070749035307,0.02666765295632141
2042,eu30,0,23.237867809832096,23.463270278269192,0,14.820143482495041,0,12.667072845921211,0.0,0.0,3.55683443550879,2.4601438156059885,6.861726431299758,1.9266186491731787,0,0.014820143483198933,0.31403550845787853,0.5628257129876214,0.09681970891741368,0.026319069637086367
2043,eu30,0,20.733075328782434,24.675860723255028,0,15.71531038617104,0,13.016151847805304,0.0,0.0,3.77167448970431,2.608741522906712,7.276188720792561,2.042990351683329,0,0.015715310398881854,0.30543106178043045,0.5652932210034154,0.10329967234217678,0.025976044873977398
2044,eu30,0,18.15141687146388,25.91589183848555,0,16.63863552193652,0,13.37152809582949,0.0,0.0,3.9932725252456294,2.762013498120723,7.703688262226933,2.1630226178403973,0,0.016638635527705503,0.2961600418322622,0.567491452936474,0.11070992654805215,0.02563857868321164
2045,eu30,0,15.492961061798269,27.183371731618536,0,17.590100378278294,0,13.733206182625509,0.0,0.0,4.221624090781916,2.9199566642782884,8.144216464745114,2.286713049175887,0,0.017590100355036498,0.2862224567919645,0.569420978426547,0.11904989406101772,0.02530667072047074
2046,eu30,0,12.757767915230943,28.47830799514486,0,18.569688791103545,0,14.10119033097726,0.0,0.0,4.456725313426432,3.0825683380862756,8.597765911599708,2.4140595447788655,0,0.018569688805989415,0.27561830330688997,0.571082313285582,0.1283190625173237,0.024980320890204334
2047,eu30,0,9.945892164949328,29.800706957314105,0,19.577385769822286,0,14.475484306311046,0.0,0.0,4.6985725862505205,3.2498460368969972,9.064329621411161,2.545060149335768,0,0.019577385743097864,0.2643475396502195,0.5724759023902427,0.13851702909237057,0.024659528867167258
2048,nafta,9.420800122021319,234.70017206657212,0,46.768078218228766,3.380785820838355,17.263919134245953,14.206100690247695,0.0,0.0,0.8113885993002441,0.5612104459091825,1.5653038355758326,0.4395021574330258,26.684719285978645,0.0033807858184466966,0.0,0.12606952944266564,0.8600734232086642,0.01385704734867016
2049,nafta,9.838140005282185,243.953394792974,0,48.98887343268143,3.13901717225599,17.84040582954185,14.577937954492882,0.0,0.0,0.7533641204636297,0.5210768501851817,1.453364952873926,0.40807223286037697,27.67854587972397,0.003139017173019454,0.0,0.12355010427160322,0.8629362601307391,0.013513635597657735
